keyword,include,category
Carbohydrates,True,
CHO,True,
Sugars,True,
Starch,True,
Glycemic Index,True,
Glycemic Load,True,
Glucose,True,
Fructose,True,
Sucrose,True,
Polysaccharides,True,
Monosaccharides,True,
Disaccharides,True,
Complex Carbohydrates,True,
Simple Carbohydrates,True,
Low Carbohydrate Diet,True,
No Carbohydrate Diet,True,
Ketogenic Diet,True,
Carb Restriction,True,
Carbohydrate Intake,True,
Dietary Carbohydrates,True,
Diet,True,
Nutrition,True,
Feeding,True,
Eating,True,
Blood Glucose,True,
Glucose Levels,True,
Postprandial Glucose,True,
Hyperglycemia,True,
Glucose Spike,True,
Glycemic Response,True,
Blood Sugar,True,
Blood Sugar Levels,True,
Postprandial Glycemia,True,
Insulin Response,True,
Insulin Secretion,True,
Glucose Metabolism,True,
Metabolic Response,True,
Blood Glucose Monitoring,True,
Self-Monitoring of Blood Glucose,True,
Glycemic Variability,True,
Peak Glucose,True,
Incremental Glucose,True,
Area Under the Curve,True,
AUC Glucose,True,
Fasting Glucose,True,
Random Glucose,True,
2-Hour Postprandial Glucose,True,
Oral Glucose Tolerance Test,True,
OGTT,True,
Blood Chemistry,True,
Biomarkers,True,
Metabolic Markers,True,
Dietary Patterns,True,
Food Consumption,True,
Meal Composition,True,
Nutrient Intake,True,
Energy Intake,True,
Dietary Assessment,True,
Human,True,
Adult,True,
Elderly,True,
Young Adult,True,
Healthy Volunteers,True,
Diabetic Patients,True,
Prediabetic,True,
Insulin Resistance,True,
Metabolic Syndrome,True,
Obese,True,
Overweight,True,
Weight Management,True,
Clinical Trial,True,
Randomized Controlled Trial,True,
RCT,True,
Cross-Over Design,True,
Intervention Study,True,
Observational Study,True,
Prospective Study,True,
Retrospective Study,True,
